Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Company_Name,Profit,Profit_Flag,Calculated_ROI,Channel_Google,Channel_WhatsApp,Channel_YouTube,Channel_Email,Channel_Instagram,Channel_Facebook
NY-CMP-1000,Social Media,College Students,21.0,"WhatsApp, YouTube",57804.0,6156.0,3616.0,2355.0,1867515.0,377.58721398505935,6.14,Hindi,20.98,College Students,2025-04-29,Nykaa,1867137.4127860148,Profit,4944.91694536006,0,1,1,0,0,0
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18.0,YouTube,91801.0,3321.0,1971.0,1357.0,1046247.0,180.83,3.26,Hindi,7.24,College Students,2025-04-06,Nykaa,1046066.17,Profit,5784.8043466239005,0,0,1,0,0,0
NY-CMP-1002,Influencer,Youth,23.0,"WhatsApp, Google, YouTube",15536.0,2182.0,952.0,755.0,197055.0,90.6,,English,25.03,College Students,2025-01-14,Nykaa,196964.4,Profit,2174.0,1,1,1,0,0,0
NY-CMP-1003,Email,Working Women,18.0,"YouTube, Facebook, Instagram",88114.0,8413.0,2231.0,947.0,376906.0,249.07,0.6,Hindi,13.15,College Students,2025-06-04,Nykaa,376656.93,Profit,1512.2533022844984,0,0,1,0,1,1
NY-CMP-1004,Paid Ads,College Students,10.0,"Facebook, Instagram",96871.0,3743.0,2060.0,1258.0,518296.0,228.6,0.8,Hindi,7.29,Tier 2 City Customers,2024-12-29,Nykaa,518067.4,Profit,2266.2615923009625,0,0,0,0,1,1
NY-CMP-1005,Influencer,Youth,26.0,"Email, Instagram",83919.0,7497.0,2061.0,1555.0,877020.0,137.79,3.09,Hindi,13.24,Premium Shoppers,2024-09-23,Nykaa,876882.21,Profit,6363.9031134334855,0,0,0,1,1,0
NY-CMP-1006,Paid Ads,College Students,21.0,"YouTube, Google, WhatsApp",82267.0,4690.636878706914,1873.0,1386.0,633402.0,210.17,1.17,Tamil,13.781462901942962,Youth,2024-09-01,Nykaa,633191.83,Profit,3012.7602892896225,1,1,1,0,0,0
NY-CMP-1007,Social Media,Working Women,6.0,Instagram,32482.0,2665.0,1488.0,925.0,326525.0,147.29,1.4,Hindi,15.63,Tier 2 City Customers,2025-05-31,Nykaa,326377.71,Profit,2215.8850566908823,0,0,0,0,1,0
NY-CMP-1008,Influencer,Premium Shoppers,27.0,"Facebook, WhatsApp, Email",73813.0,8680.0,5031.0,2551.0,1058665.0,87.74,3.73,Hindi,22.03,Tier 2 City Customers,2025-03-24,Nykaa,1058577.26,Profit,12064.93343970823,0,1,0,1,0,1
NY-CMP-1009,Paid Ads,College Students,11.0,Email,88895.0,6284.0,1600.0,858.0,603174.0,269.82,1.61,Hindi,9.83,Youth,2025-04-29,Nykaa,602904.18,Profit,2234.4680898376696,0,0,0,1,0,0
NY-CMP-1010,SEO,Working Women,5.0,Instagram,59141.0,1556.0,580.0,221.0,121550.0,377.58721398505935,0.54,Hindi,3.99,Working Women,2024-10-26,Nykaa,121172.41278601495,Profit,320.91238341245736,0,0,0,0,1,0
NY-CMP-1011,SEO,Youth,7.0,"Facebook, YouTube",39696.0,5623.0,1136.0,661.0,286874.0,163.52,1.65,Hindi,18.69,Premium Shoppers,2024-12-21,Nykaa,286710.48,Profit,1753.366438356164,0,0,1,0,0,1
NY-CMP-1012,Email,Youth,29.0,"Email, Instagram, Facebook",20080.0,570.0,258.0,183.0,128466.0,462.62,0.52,Hindi,5.03,Working Women,,Nykaa,128003.38,Profit,276.6922744369029,0,0,0,1,1,1
NY-CMP-1013,SEO,Youth,14.0,Email,96303.0,3749.0,1785.0,940.0,441800.0,282.05,0.67,Tamil,6.72,Premium Shoppers,2024-10-29,Nykaa,441517.95,Profit,1565.3889381315369,0,0,0,1,0,0
NY-CMP-1014,Paid Ads,Premium Shoppers,5.0,Instagram,38072.0,2591.0,1542.0,769.0,240697.0,369.75,-0.15,Bengali,12.88,College Students,2024-07-06,Nykaa,240327.25,Profit,649.972278566599,0,0,0,0,1,0
NY-CMP-1015,Paid Ads,Working Women,23.0,"Facebook, Instagram, Email",28714.0,1511.0,441.0,158.0,0.0,1648.61,-0.87,Hindi,7.35,Premium Shoppers,2024-10-06,Nykaa,-1648.61,Loss,-1.0,0,0,0,1,1,1
NY-CMP-1016,SEO,College Students,27.0,WhatsApp,73474.0,4886.0,2344.0,1055.0,263750.0,272.28,-0.08,English,13.781462901942962,College Students,2024-12-18,Nykaa,263477.72,Profit,967.6719553400911,0,1,0,0,0,0
NY-CMP-1017,Paid Ads,Premium Shoppers,28.0,"Google, YouTube, Instagram",57060.0,1659.0,928.0,346.0,187186.0,448.86,0.21,Hindi,5.14,Premium Shoppers,2025-04-19,Nykaa,186737.14,Profit,416.02535311678474,1,0,1,0,1,0
NY-CMP-1018,SEO,Tier 2 City Customers,7.0,WhatsApp,49784.0,4690.636878706914,594.0,440.0,261800.0,115.42,4.16,Tamil,5.11,Working Women,2025-01-18,Nykaa,261684.58,Profit,2267.2377404262693,0,1,0,0,0,0
NY-CMP-1019,Paid Ads,College Students,21.0,Instagram,55317.0,7847.0,1736.0,1079.0,715377.0,174.65,2.8,English,19.27,Tier 2 City Customers,2025-02-16,Nykaa,715202.35,Profit,4095.0606928141997,0,0,0,0,1,0
NY-CMP-1020,Paid Ads,Premium Shoppers,27.0,"Google, YouTube",10678.0,4690.636878706914,524.0,163.0,111981.0,1124.19,-0.39,Bengali,17.83,Youth,2024-08-27,Nykaa,110856.81,Profit,98.61038614469084,1,0,1,0,0,0
NY-CMP-1021,SEO,Working Women,22.0,"Instagram, YouTube, Google",27990.0,3508.0,761.0,385.0,155540.0,516.25,-0.22,Hindi,16.63,Youth,2025-01-30,Nykaa,155023.75,Profit,300.2881355932203,1,0,1,0,1,0
NY-CMP-1022,Email,Working Women,9.0,"WhatsApp, YouTube",74423.0,3139.0,1622.0,1149.0,629652.0,89.52,5.12,Bengali,7.94,Premium Shoppers,2025-02-03,Nykaa,629562.48,Profit,7032.646112600536,0,1,1,0,0,0
NY-CMP-1023,SEO,Working Women,9.0,"Google, Email, WhatsApp",77708.0,4985.0,1363.0,916.0,632040.0,120.36,4.73,Bengali,9.35,Tier 2 City Customers,2025-05-07,Nykaa,631919.64,Profit,5250.246261216351,1,1,0,1,0,0
NY-CMP-1024,SEO,Working Women,21.0,"YouTube, Facebook",89970.0,10679.0,4140.0,3003.0,1537536.0,377.58721398505935,6.33,English,19.81,Working Women,2025-03-10,Nykaa,1537158.4127860148,Profit,4071.0022899420483,0,0,1,0,0,1
NY-CMP-1025,SEO,Working Women,25.0,"Google, Facebook",96295.0,8911.0,2116.0,872.0,441232.0,148.17,2.41,Hindi,12.36,Tier 2 City Customers,2024-11-17,Nykaa,441083.83,Profit,2976.8767631774317,1,0,0,0,0,1
NY-CMP-1026,Influencer,Working Women,29.0,"Google, Instagram, WhatsApp",59234.0,4690.636878706914,1531.0,892.0,226568.0,270.76,-0.06,Tamil,12.52,College Students,2024-10-16,Nykaa,226297.24,Profit,835.7853449549416,1,1,0,0,1,0
NY-CMP-1027,Social Media,Working Women,15.0,YouTube,74702.0,10110.0,5298.0,2481.0,1220652.0,49.62,8.91,Tamil,23.95,Premium Shoppers,,Nykaa,1220602.38,Profit,24599.0,0,0,1,0,0,0
NY-CMP-1028,Paid Ads,Youth,15.0,"Instagram, Google, YouTube",26353.0,3943.0,1879.0,746.0,458044.0,214.56,1.86,Tamil,24.92,College Students,2025-03-30,Nykaa,457829.44,Profit,2133.806114839672,1,0,1,0,1,0
NY-CMP-1029,Email,Youth,26.0,"WhatsApp, Instagram, Email",16978.0,1079.0,372.0,164.0,56908.0,1784.37,-0.81,English,9.51,Youth,2024-07-24,Nykaa,55123.63,Profit,30.892488665467365,0,1,0,1,1,0
NY-CMP-1030,SEO,College Students,18.0,YouTube,92924.0,9525.0,4340.0,2242.0,652422.0,27.28,9.67,English,17.33,Youth,2025-03-17,Nykaa,652394.72,Profit,23914.762463343108,0,0,1,0,0,0
NY-CMP-1031,SEO,Working Women,7.0,"Email, Facebook, WhatsApp",96549.0,13114.0,3791.0,1202.0,366610.0,74.34,3.1,Hindi,18.75,College Students,2025-06-04,Nykaa,366535.66,Profit,4930.530804412159,0,1,0,1,0,1
NY-CMP-1032,Social Media,Premium Shoppers,17.0,Instagram,72628.0,6488.0,1923.0,1181.0,243286.0,231.17,-0.11,Tamil,13.21,Premium Shoppers,2025-05-09,Nykaa,243054.83,Profit,1051.4116451096595,0,0,0,0,1,0
NY-CMP-1033,Social Media,Youth,19.0,"WhatsApp, Google, YouTube",55119.386698247275,3309.0,1588.0,582.0,346872.0,320.86,,English,8.94,Youth,2024-12-31,Nykaa,346551.14,Profit,1080.0696253817864,1,1,1,0,0,0
NY-CMP-1034,SEO,College Students,22.0,"Email, Facebook, YouTube",55119.386698247275,1719.0,704.0,274.0,101928.0,727.09,-0.49,Tamil,9.24,Working Women,,Nykaa,101200.91,Profit,139.1862217882243,0,0,1,1,0,1
NY-CMP-1035,Paid Ads,College Students,11.0,"Google, Facebook, WhatsApp",19637.0,478.0,236.0,173.0,108471.0,498.5,0.26,Tamil,4.52,Tier 2 City Customers,2024-10-12,Nykaa,107972.5,Profit,216.59478435305917,1,1,0,0,0,1
NY-CMP-1036,Paid Ads,Premium Shoppers,19.0,"Facebook, Instagram, Email",23746.0,4690.636878706914,747.0,458.0,101218.0,229.15,-0.04,Hindi,11.4,Tier 2 City Customers,2024-12-07,Nykaa,100988.85,Profit,440.7106698668994,0,0,0,1,1,1
NY-CMP-1037,Paid Ads,Tier 2 City Customers,17.444507737586633,"Facebook, YouTube, Email",53926.0,7219.0,1902.0,1105.0,339235.0,221.64,0.39,Bengali,18.96,Youth,2024-10-18,Nykaa,339013.36,Profit,1529.5675870781447,0,0,1,1,0,1
NY-CMP-1038,Paid Ads,Premium Shoppers,6.0,Email,35806.0,2631.0,999.0,365.0,198925.0,362.79,0.5,English,11.16,Youth,2025-03-22,Nykaa,198562.21,Profit,547.3199647178808,0,0,0,1,0,0
NY-CMP-1039,Email,Working Women,6.0,"Facebook, YouTube, Instagram",55119.386698247275,2418.0,773.0,403.0,207142.0,377.58721398505935,0.28,Hindi,11.33,Youth,2024-10-21,Nykaa,206764.41278601493,Profit,547.5937879458925,0,0,1,0,1,1
NY-CMP-1040,Influencer,Premium Shoppers,29.0,Email,10338.0,864.0,412.0,299.0,0.0,438.17,-0.03,English,13.781462901942962,Tier 2 City Customers,2024-09-15,Nykaa,-438.17,Loss,-1.0,0,0,0,1,0,0
NY-CMP-1041,Paid Ads,Tier 2 City Customers,7.0,"Instagram, WhatsApp, Facebook",96095.0,12738.0,6327.0,2845.0,631590.0,56.36,2.94,Bengali,22.8,College Students,2025-03-23,Nykaa,631533.64,Profit,11205.352022711142,0,1,0,0,1,1
NY-CMP-1042,Influencer,Premium Shoppers,7.0,"WhatsApp, YouTube, Instagram",96219.0,11237.0,5367.0,3599.0,910547.0,68.47,,Hindi,21.0,Working Women,2024-08-31,Nykaa,910478.53,Profit,13297.481086607273,0,1,1,0,1,0
NY-CMP-1043,Influencer,Premium Shoppers,30.0,YouTube,37002.0,2753.0,979.0,780.0,371280.0,123.02,2.87,Tamil,12.19,College Students,2025-05-29,Nykaa,371156.98,Profit,3017.045846203869,0,0,1,0,0,0
NY-CMP-1044,SEO,College Students,29.0,"Google, Instagram",65776.0,4977.0,1606.0,901.0,370311.0,74.44,4.52,Bengali,11.38,College Students,2025-04-26,Nykaa,370236.56,Profit,4973.623858140784,1,0,0,0,1,0
NY-CMP-1045,Social Media,Tier 2 City Customers,12.0,WhatsApp,57520.0,3932.0,2101.0,1431.0,1027458.0,128.93,4.57,English,12.98,Premium Shoppers,2024-08-24,Nykaa,1027329.07,Profit,7968.115023656247,0,1,0,0,0,0
NY-CMP-1046,Email,Working Women,24.0,"Facebook, WhatsApp, Google",52752.0,5831.0,3299.0,2095.0,509085.0,139.77,0.74,Bengali,21.28,Youth,2024-08-05,Nykaa,508945.23,Profit,3641.3052157115258,1,1,0,0,0,1
NY-CMP-1047,Social Media,College Students,5.0,YouTube,14944.0,1268.0,482.0,318.0,104304.0,319.84,0.03,Hindi,13.781462901942962,Working Women,2025-04-02,Nykaa,103984.16,Profit,325.11305652826417,0,0,1,0,0,0
NY-CMP-1048,Email,Youth,22.0,Instagram,53290.0,3905.0,1034.0,535.0,0.0,131.77,3.89,Tamil,10.27,Working Women,2024-08-22,Nykaa,-131.77,Loss,-1.0,0,0,0,0,1,0
NY-CMP-1049,SEO,Working Women,14.0,Google,41687.0,2215.0,911.0,568.0,358408.0,277.67,1.27,English,8.86,Working Women,2025-03-04,Nykaa,358130.33,Profit,1289.7696186120215,1,0,0,0,0,0
NY-CMP-1050,Paid Ads,Working Women,30.0,"WhatsApp, Facebook",67932.0,9449.0,5194.0,3230.0,839800.0,33.28,6.81,English,26.31,Working Women,2024-11-04,Nykaa,839766.72,Profit,25233.375,0,1,0,0,0,1
NY-CMP-1051,Email,Tier 2 City Customers,16.0,"Google, YouTube",78991.0,6551.0,3460.0,1033.3572387452969,810385.0,49.89,,Hindi,16.04,Premium Shoppers,2025-04-16,Nykaa,810335.11,Profit,16242.4355582281,1,0,1,0,0,0
NY-CMP-1052,Social Media,Working Women,12.0,Instagram,97822.0,5691.0,2022.0,1271.0,0.0,210.15,1.17,Bengali,9.18,Premium Shoppers,2024-11-15,Nykaa,-210.15,Loss,-1.0,0,0,0,0,1,0
NY-CMP-1053,Email,Tier 2 City Customers,17.444507737586633,Instagram,77985.0,6461.0,3033.0,1379.0,995638.0,180.5,3.0,English,13.94,Premium Shoppers,2024-08-07,Nykaa,995457.5,Profit,5515.0,0,0,0,0,1,0
NY-CMP-1054,Paid Ads,Working Women,12.0,"Google, YouTube, Instagram",82079.0,2124.0,1057.0,472.0,0.0,620.82,-0.21,Tamil,4.45,College Students,2025-06-13,Nykaa,-620.82,Loss,-1.0,1,0,1,0,1,0
NY-CMP-1055,Paid Ads,Tier 2 City Customers,16.0,Instagram,55119.386698247275,8932.0,3662.0,1790.0,721370.0,150.42,,Bengali,21.54,Premium Shoppers,2025-03-18,Nykaa,721219.58,Profit,4794.705358330009,0,0,0,0,1,0
NY-CMP-1056,Influencer,Working Women,11.0,"Email, Facebook",72001.0,8840.0,2425.0,1271.0,846486.0,54.74,11.17,English,17.41,Tier 2 City Customers,2024-07-27,Nykaa,846431.26,Profit,15462.755937157472,0,0,0,1,0,1
NY-CMP-1057,Email,Youth,17.444507737586633,"WhatsApp, YouTube",43454.0,5590.0,1836.0,1046.0,343088.0,377.58721398505935,0.8,Hindi,19.5,Tier 2 City Customers,2024-12-03,Nykaa,342710.41278601496,Profit,907.632462362922,0,1,1,0,0,0
NY-CMP-1058,Influencer,College Students,28.0,"Instagram, Google",24558.0,1700.0,671.0,326.0,235698.0,189.39,2.82,Tamil,10.98,Tier 2 City Customers,2025-02-13,Nykaa,235508.61,Profit,1243.5113258355775,1,0,0,0,1,0
NY-CMP-1059,Email,Tier 2 City Customers,12.0,"Instagram, Email, YouTube",51784.0,3169.0,1762.0,1042.0,803382.0,141.09,4.46,Bengali,11.53,Tier 2 City Customers,2025-03-11,Nykaa,803240.91,Profit,5693.110142462258,0,0,1,1,1,0
NY-CMP-1060,SEO,Tier 2 City Customers,12.0,"YouTube, Facebook, Google",61841.0,6086.0,2165.0,1542.0,1201218.0,38.2,19.39,Bengali,15.84,College Students,2025-01-10,Nykaa,1201179.8,Profit,31444.49738219895,1,0,1,0,0,1
NY-CMP-1061,SEO,Youth,5.0,Email,80683.0,2154.0,985.0,786.0,248376.0,244.18,0.29,Bengali,4.86,Youth,2025-04-30,Nykaa,248131.82,Profit,1016.1840445572938,0,0,0,1,0,0
NY-CMP-1062,Email,Premium Shoppers,20.0,"Facebook, Instagram",82701.0,4690.636878706914,1876.9386842504168,869.0,323268.0,230.37,0.61,Bengali,7.75,Tier 2 City Customers,2024-09-01,Nykaa,323037.63,Profit,1402.2556322437817,0,0,0,0,1,1
NY-CMP-1063,SEO,Youth,8.0,WhatsApp,80457.0,9646.0,2336.0,1659.0,643692.0,125.03,2.1,Hindi,16.95,College Students,,Nykaa,643566.97,Profit,5147.300407902103,0,1,0,0,0,0
NY-CMP-1064,SEO,College Students,13.0,"YouTube, WhatsApp",34565.0,819.0,304.0,211.0,137150.0,1099.71,-0.41,Hindi,3.86,Youth,2025-05-28,Nykaa,136050.29,Profit,123.71469751116204,0,1,1,0,0,0
NY-CMP-1065,Email,Working Women,25.0,"YouTube, Facebook, Google",41740.0,1039.0,561.0,322.0,154882.0,328.9,,Tamil,4.6,Tier 2 City Customers,2025-04-29,Nykaa,154553.1,Profit,469.90909090909093,1,0,1,0,0,1
NY-CMP-1066,Social Media,College Students,29.0,Instagram,28052.0,1240.0,513.0,377.0,166634.0,221.3,1.0,Tamil,7.59,Tier 2 City Customers,2024-08-17,Nykaa,166412.7,Profit,751.9778581111614,0,0,0,0,1,0
NY-CMP-1067,Social Media,Youth,6.0,"WhatsApp, Facebook, YouTube",36769.0,2948.0,797.0,370.0,237170.0,576.24,0.11,Tamil,11.19,Premium Shoppers,2025-02-06,Nykaa,236593.76,Profit,410.5819797306678,0,1,1,0,0,1
NY-CMP-1068,Email,College Students,26.0,WhatsApp,59910.0,3712.0,1431.0,951.0,427950.0,303.73,0.48,English,10.17,Working Women,2025-03-25,Nykaa,427646.27,Profit,1407.9816613439568,0,1,0,0,0,0
NY-CMP-1069,Social Media,Working Women,20.0,"Google, WhatsApp",51907.0,4690.636878706914,484.0,275.0,137225.0,316.3,0.58,English,4.77,Premium Shoppers,2024-07-12,Nykaa,136908.7,Profit,432.8444514701233,1,1,0,0,0,0
NY-CMP-1070,Email,Working Women,21.0,"Email, Instagram",54847.0,4690.636878706914,3946.0,1326.0,0.0,377.58721398505935,6.45,English,23.77,Tier 2 City Customers,,Nykaa,-377.58721398505935,Loss,-1.0,0,0,0,1,1,0
NY-CMP-1071,Social Media,Working Women,11.0,Google,68542.0,8178.0,3828.0,1207.0,280024.0,179.89,0.29,Hindi,19.28,Tier 2 City Customers,2024-12-23,Nykaa,279844.11,Profit,1555.640168992162,1,0,0,0,0,0
NY-CMP-1072,Influencer,College Students,17.0,"Google, YouTube",73165.0,5735.0,2225.0,1582.0,1170680.0,143.08,4.17,Tamil,13.04,College Students,2024-12-27,Nykaa,1170536.92,Profit,8180.996086105674,1,0,1,0,0,0
NY-CMP-1073,Email,Working Women,17.0,"Instagram, YouTube",26416.0,1545.0,401.0,226.0,68478.0,395.28,-0.23,Hindi,8.22,College Students,,Nykaa,68082.72,Profit,172.2392228293868,0,0,1,0,1,0
NY-CMP-1074,Email,Tier 2 City Customers,11.0,"WhatsApp, Email, Google",97611.0,7838.0,2476.0,1741.0,0.0,164.53,0.89,Bengali,12.35,Working Women,2024-08-29,Nykaa,-164.53,Loss,-1.0,1,1,0,1,0,0
