Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Company_Name,Profit,Profit_Flag,Calculated_ROI,Channel_Google,Channel_WhatsApp,Channel_YouTube,Channel_Email,Channel_Instagram,Channel_Facebook
PU-CMP-1000,Paid Ads,Working Women,6.0,"Facebook, Google",31869.0,3490.0,1946.0,902.0,493394.0,55.93,8.78,Tamil,19.89,Premium Shoppers,2024-12-27,Purplle,493338.07,Profit,8820.63418558913,1,0,0,0,0,1
PU-CMP-1001,Paid Ads,Premium Shoppers,8.0,"Instagram, WhatsApp",26640.0,2441.0,741.0,314.0,108644.0,197.44,0.75,Bengali,13.12,Youth,2024-11-26,Purplle,108446.56,Profit,549.2633711507293,0,1,0,0,1,0
PU-CMP-1002,Influencer,Youth,22.0,"Facebook, WhatsApp",36967.0,4997.0,1025.0,653.0,0.0,234.59,0.56,Bengali,18.06,College Students,2025-01-08,Purplle,-234.59,Loss,-1.0,0,1,0,0,0,1
PU-CMP-1003,Paid Ads,Youth,15.0,"Instagram, WhatsApp",73258.0,5893.0,2565.0,1970.0,1341570.0,103.76,5.56,Bengali,14.23,College Students,2025-03-14,Purplle,1341466.24,Profit,12928.548959136468,0,1,0,0,1,0
PU-CMP-1004,Social Media,Premium Shoppers,11.0,"WhatsApp, Instagram",91081.0,6393.0,3282.0,2582.0,787510.0,78.61,,English,13.46,College Students,2024-07-11,Purplle,787431.39,Profit,10016.936649281262,0,1,0,0,1,0
PU-CMP-1005,SEO,Tier 2 City Customers,12.0,Email,18715.0,976.0,555.0,364.0,158340.0,411.09,0.06,Bengali,10.13,College Students,2024-11-09,Purplle,157928.91,Profit,384.17113040939944,0,0,0,1,0,0
PU-CMP-1006,SEO,Youth,10.0,"Google, Facebook",75752.0,9883.0,5783.0,4300.0,3427100.0,60.38,12.2,Bengali,26.36,Working Women,2024-07-28,Purplle,3427039.62,Profit,56757.86054985094,1,0,0,0,0,1
PU-CMP-1007,Paid Ads,College Students,12.0,"WhatsApp, Google",87117.0,5441.0,2231.0,1716.0,713856.0,42.22,8.85,Hindi,10.78,Tier 2 City Customers,2024-11-26,Purplle,713813.78,Profit,16907.005684509713,1,1,0,0,0,0
PU-CMP-1008,Paid Ads,Tier 2 City Customers,19.0,"Google, Email, Facebook",89807.0,4931.0,2639.0,2052.0,627912.0,124.35,1.46,Hindi,10.71,Tier 2 City Customers,2024-08-18,Purplle,627787.65,Profit,5048.553679131484,1,0,0,1,0,1
PU-CMP-1009,Paid Ads,College Students,18.0,"Instagram, Google",95629.0,6410.0,2147.0,1149.0,687102.0,84.2,6.1,English,10.15,Working Women,2024-12-08,Purplle,687017.8,Profit,8159.356294536818,1,0,0,0,1,0
PU-CMP-1010,SEO,Tier 2 City Customers,18.0,"WhatsApp, Email",31958.0,1412.0,480.0,337.0,210288.0,513.47,0.22,Bengali,6.97,Youth,2025-03-22,Purplle,209774.53,Profit,408.5429138995462,0,1,0,1,0,0
PU-CMP-1011,Influencer,Youth,19.0,"Email, Facebook",61661.0,4682.958972806237,1873.1419065802158,466.0,150052.0,537.33,-0.4,Tamil,6.96,Premium Shoppers,,Purplle,149514.67,Profit,278.2548340870601,0,0,0,1,0,1
PU-CMP-1012,Influencer,College Students,14.0,Instagram,84644.0,7535.0,2416.0,1155.0,883575.0,74.1,9.32,Bengali,13.12,College Students,2024-11-19,Purplle,883500.9,Profit,11923.089068825911,0,0,0,0,1,0
PU-CMP-1013,SEO,College Students,11.0,"Instagram, YouTube, Google",90802.0,7801.0,2786.0,1013.0,762789.0,140.33,4.37,Hindi,12.78,Tier 2 City Customers,2024-11-03,Purplle,762648.67,Profit,5434.680182427136,1,0,1,0,1,0
PU-CMP-1014,Influencer,College Students,6.0,WhatsApp,35821.0,1787.0,538.0,383.0,151285.0,541.42,-0.27,Hindi,13.75685721300021,Youth,,Purplle,150743.58,Profit,278.4226293819955,0,1,0,0,0,0
PU-CMP-1015,Paid Ads,Tier 2 City Customers,29.0,WhatsApp,22454.0,1933.0,526.0,249.0,150147.0,1039.66,-0.42,English,12.06,College Students,2025-05-22,Purplle,149107.34,Profit,143.41932939614873,0,1,0,0,0,0
PU-CMP-1016,SEO,Premium Shoppers,7.0,WhatsApp,89530.0,8111.0,3517.0,1069.0,696988.0,172.5,2.78,English,14.18,Premium Shoppers,2025-05-19,Purplle,696815.5,Profit,4039.510144927536,0,1,0,0,0,0
PU-CMP-1017,Influencer,Premium Shoppers,29.0,Email,13272.0,542.0,232.0,154.0,117810.0,1790.01,-0.57,English,6.99,Tier 2 City Customers,2025-04-10,Purplle,116019.99,Profit,64.81527477500126,0,0,0,1,0,0
PU-CMP-1018,Email,Youth,26.0,"YouTube, Email, Instagram",21145.0,2631.0,1873.1419065802158,465.0,109275.0,510.19,-0.54,English,21.51,College Students,2025-05-20,Purplle,108764.81,Profit,213.1849115035575,0,0,1,1,1,0
PU-CMP-1019,Email,Youth,5.0,Google,89774.0,4850.0,2293.0,1255.0,874735.0,126.4,4.51,English,9.35,Premium Shoppers,2024-11-08,Purplle,874608.6,Profit,6919.3718354430375,1,0,0,0,0,0
PU-CMP-1020,Social Media,Premium Shoppers,19.0,"WhatsApp, Instagram, Facebook",91265.0,6108.0,3239.0,2562.0,855708.0,21.3,14.68,Bengali,13.05,Working Women,2025-02-06,Purplle,855686.7,Profit,40173.08450704225,0,1,0,0,1,1
PU-CMP-1021,Influencer,Premium Shoppers,23.0,YouTube,31251.0,1493.0,411.0,211.0,0.0,425.77,-0.13,English,6.77,Tier 2 City Customers,2024-09-11,Purplle,-425.77,Loss,-1.0,0,0,1,0,0,0
,Paid Ads,Working Women,17.48727906492129,"WhatsApp, Instagram",12321.0,275.0,120.0,39.0,12831.0,1741.9,-0.81,Bengali,3.52,Working Women,2025-03-14,Purplle,11089.1,Profit,6.366094494517481,0,1,0,0,1,0
PU-CMP-1023,Influencer,Working Women,24.0,Facebook,81785.0,4486.0,2181.0,1027.354323859231,501182.0,219.29,0.91,Hindi,9.62,Youth,2024-07-22,Purplle,500962.71,Profit,2284.4758538921064,0,0,0,0,0,1
PU-CMP-1024,Paid Ads,Working Women,25.0,"YouTube, WhatsApp, Instagram",53825.0,2341.0,629.0,453.0,226047.0,246.34,1.03,Tamil,6.36,Youth,2025-01-12,Purplle,225800.66,Profit,916.6219858731835,0,1,1,0,1,0
PU-CMP-1025,Paid Ads,Youth,16.0,"Google, WhatsApp",70528.0,7924.0,1873.1419065802158,1886.0,1020326.0,120.87,3.48,Bengali,18.87,Youth,2024-11-18,Purplle,1020205.13,Profit,8440.515678001158,1,1,0,0,0,0
PU-CMP-1026,Social Media,Working Women,17.48727906492129,"Google, Instagram",93694.0,3566.0,1062.0,549.0,111996.0,376.37,-0.46,Bengali,5.53,Tier 2 City Customers,2025-02-09,Purplle,111619.63,Profit,296.5688816855754,1,0,0,0,1,0
PU-CMP-1027,Paid Ads,Youth,23.0,"Google, WhatsApp, Instagram",42745.0,3122.0,995.0,684.0,487008.0,313.83,1.27,Bengali,11.23,College Students,2025-04-12,Purplle,486694.17,Profit,1550.8210496128477,1,1,0,0,1,0
PU-CMP-1028,Paid Ads,Premium Shoppers,8.0,WhatsApp,86483.0,8763.0,4092.0,2357.0,1369417.0,64.88,7.95,Hindi,17.59,Youth,2025-04-16,Purplle,1369352.12,Profit,21105.92046855734,0,1,0,0,0,0
PU-CMP-1029,Social Media,Working Women,25.0,Email,92767.0,12211.0,2983.0,1997.0,1198200.0,130.19,3.61,Tamil,18.53,Premium Shoppers,2024-07-12,Purplle,1198069.81,Profit,9202.471848836316,0,0,0,1,0,0
PU-CMP-1030,Email,Youth,13.0,Facebook,17372.0,1861.0,975.0,376.0,124832.0,776.52,-0.57,Hindi,13.75685721300021,Working Women,2025-01-01,Purplle,124055.48,Profit,159.75825477772625,0,0,0,0,0,1
PU-CMP-1031,Social Media,Working Women,17.48727906492129,YouTube,72759.0,9731.0,3275.0,1579.0,699497.0,139.27,2.18,Tamil,20.05,Premium Shoppers,2024-09-11,Purplle,699357.73,Profit,5021.596395490773,0,0,1,0,0,0
PU-CMP-1032,Influencer,Youth,25.0,"WhatsApp, Instagram, Google",55081.24739750918,2508.0,875.0,419.0,289948.0,565.74,0.22,Tamil,17.77,Premium Shoppers,2025-03-06,Purplle,289382.26,Profit,511.5110474776399,1,1,0,0,1,0
