Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Company_Name,Profit,Profit_Flag,Calculated_ROI,Channel_Google,Channel_WhatsApp,Channel_YouTube,Channel_Email,Channel_Instagram,Channel_Facebook
TI-CMP-1000,SEO,Working Women,11.0,Email,64004.0,2906.0,1639.0,952.0,222768.0,129.72,0.8,Tamil,13.756234926644582,Premium Shoppers,2024-10-30,Tira,222638.28,Profit,1716.2987974098057,0,0,0,1,0,0
TI-CMP-1001,Social Media,Tier 2 City Customers,24.0,YouTube,71795.0,2051.0,552.0,256.0,199168.0,316.36,1.46,Tamil,3.98,College Students,2024-09-11,Tira,198851.64,Profit,628.5612593248198,0,0,1,0,0,0
TI-CMP-1002,SEO,Working Women,28.0,Email,79158.0,3546.0,1928.0,1314.0,433620.0,374.9208677818732,2.62,English,8.58,Tier 2 City Customers,2024-08-28,Tira,433245.07913221815,Profit,1155.5640572780217,0,0,0,1,0,0
TI-CMP-1003,Email,Youth,8.0,Google,31523.0,3721.0,2088.0,736.0,571872.0,161.13,3.82,Bengali,20.76,Youth,2024-07-27,Tira,571710.87,Profit,3548.1342394339977,1,0,0,0,0,0
TI-CMP-1004,Paid Ads,Premium Shoppers,15.0,"Facebook, Email, WhatsApp",61441.0,7277.0,3615.0,2602.0,1477936.0,82.07,,Tamil,21.96,College Students,2024-12-19,Tira,1477853.93,Profit,18007.23687096381,0,1,0,1,0,1
TI-CMP-1005,Email,Tier 2 City Customers,6.0,"Google, Facebook",32340.0,4722.0,1102.0,698.0,185668.0,194.21,0.37,English,20.17,Tier 2 City Customers,2024-09-26,Tira,185473.79,Profit,955.0166829720406,1,0,0,0,0,1
TI-CMP-1006,Social Media,Working Women,5.0,"Email, YouTube, WhatsApp",91729.0,13151.0,5556.0,4153.0,2691144.0,32.98,18.65,English,24.92,Premium Shoppers,2025-02-08,Tira,2691111.02,Profit,81598.27228623409,0,1,1,1,0,0
TI-CMP-1007,Social Media,Working Women,21.0,"Google, Facebook, Instagram",65005.0,7269.0,3868.0,2118.0,1230558.0,374.9208677818732,3.12,Bengali,20.39,College Students,2024-11-14,Tira,1230183.0791322181,Profit,3281.180603283815,1,0,0,0,1,1
TI-CMP-1008,Email,Working Women,20.0,YouTube,73189.0,8370.0,3960.0,2248.0,804784.0,43.89,7.16,Hindi,19.92,College Students,2024-08-19,Tira,804740.11,Profit,18335.386420596948,0,0,1,0,0,0
TI-CMP-1009,Influencer,College Students,30.0,"Email, WhatsApp, Facebook",45172.0,5934.0,2313.0,1432.0,890704.0,190.58,2.26,English,21.43,Youth,2024-10-13,Tira,890513.42,Profit,4672.648861370553,0,1,0,1,0,1
TI-CMP-1010,Paid Ads,Working Women,17.0,WhatsApp,69755.0,5512.0,2113.0,1462.0,893282.0,128.34,3.76,Hindi,13.03,Working Women,2024-11-07,Tira,893153.66,Profit,6959.2773881876265,0,1,0,0,0,0
TI-CMP-1011,Paid Ads,Youth,13.0,"YouTube, Google",65072.0,3262.0,1203.0,362.0,221906.0,269.07,1.28,Hindi,7.42,Youth,2025-01-02,Tira,221636.93,Profit,823.7147582413498,1,0,1,0,0,0
TI-CMP-1012,Influencer,Tier 2 City Customers,12.0,"YouTube, Instagram, Facebook",55636.0,4681.332342640795,1846.0,1376.0,876512.0,122.46,4.2,Bengali,13.756234926644582,Tier 2 City Customers,2025-03-03,Tira,876389.54,Profit,7156.537154989385,0,0,1,0,1,1
TI-CMP-1013,Social Media,Tier 2 City Customers,11.0,"WhatsApp, YouTube, Facebook",47664.0,2390.0,516.0,331.0,132069.0,351.54,,Bengali,6.79,Working Women,2025-01-02,Tira,131717.46,Profit,374.6869772998805,0,1,1,0,0,1
,Influencer,Working Women,13.0,"YouTube, Instagram, Facebook",64076.0,3644.0,1453.0,1024.7833254560924,210166.0,442.95,0.02,Tamil,8.68,Youth,2025-01-20,Tira,209723.05,Profit,473.4689016819054,0,0,1,0,1,1
TI-CMP-1015,SEO,Premium Shoppers,12.0,Email,26173.0,590.0,286.0,1024.7833254560924,99552.0,1973.18,,Hindi,3.87,Youth,,Tira,97578.82,Profit,49.45256894961433,0,0,0,1,0,0
TI-CMP-1016,Paid Ads,Premium Shoppers,9.0,Facebook,97997.0,4681.332342640795,2733.0,1710.0,737010.0,114.64,2.76,Tamil,9.52,Youth,2024-08-20,Tira,736895.36,Profit,6427.9078855547805,0,0,0,0,0,1
